1I,Bistec_de_diezmillo_de_res,Bistec_de_diezmillo_de_res,Bistec_de_diezmillo_de_res,Bistec_de_diezmillo_de_res,Chuleta_ahumada_de_cerdo,Chuleta_ahumada_de_cerdo,Chuleta_ahumada_de_cerdo,Chuleta_ahumada_de_cerdo,Filete_de_res,Filete_de_res,Filete_de_res,Carnes_molida_de_res,Carnes_molida_de_res,Carnes_molida_de_res,Carnes_molida_de_res,Carnes_molida_de_res,Espinazo_de_cerdo
1D,Milanesa_de_res,Milanesa_de_res,Milanesa_de_res,Milanesa_de_res,Chuleta_de_res,Pata_de_cerdo,Pata_de_cerdo,Pata_de_cerdo,Pata_de_cerdo,Pavo,Pavo,Ternera,Falda_de_res,Falda_de_res,Falda_de_res,Falda_de_res,Milanesa_de_res
2I,Cafe_tostado_y_molido,Cafe_soluble,Jarabe_p.preparar_bebidas,Jarabe_p.preparar_bebidas,Azucar,Azucar,Azucar,Azucar,Miel_de_abeja,Miel_de_abeja,Miel_de_abeja,Miel_de_abeja,Bebida_energetica,Bebida_energetica,Polvo_p.preparar_bebidas,Polvo_p.preparar_bebidas,Te
2D,Galletas,Galletas,Galletas_dulces,Galletas_dulces,Galletas_dulces,Galletas_dulces,Galletas_populares,Harina_de_trigo,Harina_de_trigo,Harina_de_trigo,Harina_de_trigo,Harina_de_trigo,Pasta_para_sopa,Pasta_para_sopa,Tortilla_de_harina_de_trigo,Tortilla_de_harina_de_trigo,Tortilla_de_harina_de_trigo
3I,Pan_de_caja,Pan_de_caja,Pan_de_caja,Pan_de_caja,Harina_hot_cakes,Harina_hot_cakes,Harina_hot_cakes,Harina_hot_cakes,Pan_de_caja,Pan_tostado,Pan_tostado,Pan_tostado,Pan_tostado,Pan_tostado,Pastelillos,Pastelillos,Pastelillos
3D,Cintilla,Calamar,Calamar,Boqueron,Boqueron,Boqueron,Boqueron,Blanco_Nilo,Langosta,Callo_de_hacha,Callo_de_hacha,Callo_de_hacha,Carpa,Carpa,Carpa,Carpa,Carpa
4I,Desodorante,Desodorante,Desodorante,Champu_para_bebes,Champu_para_bebes,Champu_para_bebes,Champu_para_bebes,Crema_dental,Crema_dental,Crema_dental,Crema_dental,Champu,Champu,Champu,Champu,Crema_liquida,Crema_solida
4D,Crema_solida,Crema_solida,Acondicionador_._enjuague,Acondicionador_._enjuague,Acondicionador_._enjuague,Jabon_de_tocador,Jabon_de_tocador,Panales_desechables,Panales_desechables,Panales_desechables,Toallita_humeda_limpiadora,Toallita_humeda_limpiadora,Repuestos_de_navajas,Repuestos_de_navajas,Repuestos_de_navajas,Repuestos_de_navajas,Repuestos_de_navajas
5I,Acelga,Acelga,Acelga,Ciruela,Avellana,Avellana,Avellana,Fresa,Ciruela,Ciruela,Ciruela,Cebolla,Cebolla,Almendras,Almendras,Almendras,Castanas
5D,Palta,Palta,Palta,Palta,Alcachofa,Alcachofa,Alcachofa,Granada,Granada,Granada,Granada,Betarraga,Betarraga,Betarraga,Pera,Pera,Pera
6I,Pepino,Pepino,Ajo,Lechuga,Nuez,Alcaparra,Alcaparra,Kiwi,Papa,Pina,Apio,Durazno,Durazno,Durazno,Espinacas,Espinacas,Espinacas
6D,Mango,Mango,Frijoles,Frijoles,Calabaza,Calabaza,Papaya,Limon,Limon,Brocoli,Champinon,Champinon,Lima,Pimiento,Mandarina,Mandarina,Mandarina
7I,Coliflor,Coliflor,Coliflor,Coliflor,Manzana,Manzana,Manzana,Ciruela_pasa,Ciruela_pasa,Ciruela_pasa,Naranja,Naranja,Pasa_.Uva_pasa.,Pasa_.Uva_pasa.,Pasa_.Uva_pasa.,Melon,Melon
7D,Aceite,Aceite_de_oliva,Grasa_comestible,Grasa_comestible,Grasa_comestible,Manteca,Manteca,Manteca_de_cerdo,Manteca_de_cerdo,Margarina,Margarina,Margarina,Margarina,Margarina_light,Margarina_light,Margarina_light,Margarina_light
8I,Hojas_de_perejil,Hojas_de_perejil,Pimienta,Concentrado_de_pollo,Concentrado_de_pollo,Concentrado_de_pollo,Concentrado_de_pollo,Mayonesa,Mayonesa,Mayonesa,Mayonesa,Mayonesa,Clavo,Salsa_picante,Salsa_de_soya,Salsa_de_soya,Salsa_de_soya
8D,Mostaza,Mostaza,Salsa_catsup,Salsa_catsup,Ajonjoli,Ajonjoli,Canela,Canela,Canela,Canela,Canela,Polvo_p.hornear,Polvo_p.hornear,Sopa_y_crema,Vinagre,Vinagre,Vinagre
9I,Res,Res,Res,Higado_de_res,Pernil,Pernil,Pernil,Pernil,Pernil,Milanesa_de_cerdo,Milanesa_de_cerdo,Milanesa_de_cerdo,Carnes_molida_de_cerdo,Retazo_hueso_de_res,Retazo_hueso_de_res,Retazo_hueso_de_res,Retazo_hueso_de_res
9D,Pechuga_de_pollo,Lomo_de_cerdo,Bistec_de_espaldilla_de_res,Bistec_de_espaldilla_de_res,Bistec_de_espaldilla_de_res,Cerdo,Cerdo,Cerdo,Cerdo,Panza_de_res,Panza_de_res,Panza_de_res,Panza_de_res,Panza_de_res,Cabeza_de_cerdo,Cabeza_de_cerdo,Cabeza_de_cerdo
10I,Pavo,Pavo,Pavo,Pollo,Pollo,Pollo,Pollo,Pollo,Pierna_de_pollo,Pierna_de_pollo,Pierna_de_pollo,Pierna_de_pollo,Pierna_de_pollo,Pollo_entero,Pollo_entero,Pollo_entero,Pollo_entero
10D,Jamon,Jamon,Jamon,Salami,Longaniza,Longaniza,Longaniza,Tocino,Tocino,Tocino,Tocino,Pate,Queso_de_puerco,Queso_de_puerco,Queso_de_puerco,Queso_de_puerco,Queso_de_puerco
